工作表名称,一级标题,二级标题,表格类型,表格顺序,备注,表格序号,列数合计,列宽1,列宽2,列宽3,列宽4,列宽5,列宽6,列宽7,列宽8,列宽9,列宽10,列宽11,列宽12,列宽13
QCF134 实收资本(附注134表),八、财务报表主要项目注释,47、实收资本,1,1,,134,7,14.4,10.27,12.6,9.8,9.33,10.4,13.2,,,,,,
QCF135 其他权益工具(附注135表),八、财务报表主要项目注释,48、其他权益工具,1,1,,135,9,18.93,5.73,9.53,5.73,9.53,5.73,9.53,5.73,9.53,,,,
QCF136 资本公积(附注136表),八、财务报表主要项目注释,49、资本公积,1,1,,136,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF137 专项储备(附注137表),八、财务报表主要项目注释,50、专项储备,1,1,,137,6,13.33,13.33,13.33,13.33,13.33,13.33,,,,,,,
QCF138 盈余公积(附注138表),八、财务报表主要项目注释,51、盈余公积,1,1,,138,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF139 未分配利润(附注139表),八、财务报表主要项目注释,52、未分配利润,1,1,,139,3,32.53,20.8,26.67,,,,,,,,,,
QCF140 营业收入、营业成本(附注140表),八、财务报表主要项目注释,53、营业收入、营业成本,5,1,,140,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF141 建造合同当期确认收入金额最大的前10项(附注14,八、财务报表主要项目注释,53、营业收入、营业成本,1,2,后缺一张,141,11,12.87,5,6.2,6.8,6.2,6.2,10.13,6.67,6.67,6.67,6.6,,
QCF142 其他收益(附注142表),八、财务报表主要项目注释,58、其他收益,5,1,,147,3,26.67,26.67,26.67,,,,,,,,,,
QCF143 投资收益(附注143表),八、财务报表主要项目注释,59、投资收益,1,1,,148,3,53.2,13.4,13.4,,,,,,,,,,
QCF145 公允价值变动收益(附注145表),八、财务报表主要项目注释,60、公允价值变动收益,1,1,,149,3,53.2,13.47,13.33,,,,,,,,,,
QCF147 资产减值损失(附注147表),八、财务报表主要项目注释,61、资产减值损失,1,1,,150,3,26.67,26.67,26.67,,,,,,,,,,
QCF148 资产处置收益(附注148表),八、财务报表主要项目注释,62、资产处置收益（不适用的项目，删除）,5,1,,151,4,41.67,9,9,20.33,,,,,,,,,
QCF149 营业外收入(附注149表),八、财务报表主要项目注释,63、营业外收入,5,1,,152,4,20.07,16.6,16.6,26.73,,,,,,,,,
QCF150 与企业日常活动无关的政府补助(附注150表),八、财务报表主要项目注释,63、营业外收入,5,2,,153,3,26.67,26.67,26.67,,,,,,,,,,
QCF151 营业外支出(附注151表),八、财务报表主要项目注释,64、营业外支出,5,1,,154,4,26.73,13.33,13.33,26.6,,,,,,,,,
QCF152 所得税费用(附注152表),八、财务报表主要项目注释,65、所得税费用,1,1,,155,3,26.67,26.67,26.67,,,,,,,,,,
QCF153 所得税费用会计利润与所得税费用调整过程(附注15,八、财务报表主要项目注释,65、所得税费用,1,2,,156,2,60.07,19.93,,,,,,,,,,,
QCF154 其他综合收益各项目及其所得税影响和转入损益情况(,八、财务报表主要项目注释,66、归属于母公司所有者的其他综合收益,1,1,,157,7,24,9.33,9.33,9.33,9.33,9.33,9.33,,,,,,
QCF155 股份支付总体情况(附注155表),八、财务报表主要项目注释,70、股份支付,1,1,,166,2,59,21,,,,,,,,,,,
QCF156 以权益结算的股份支付情况(附注156表),八、财务报表主要项目注释,70、股份支付,1,2,,167,2,43.27,36.73,,,,,,,,,,,
QCF157 以现金结算的股份支付情况(附注157表),八、财务报表主要项目注释,70、股份支付,1,3,,168,2,52.53,27.47,,,,,,,,,,,
QCF158 债务重组债务人披露情况(附注158表),八、财务报表主要项目注释,71、债务重组,1,1,,169,4,31.73,21.47,13.4,13.4,,,,,,,,,
QCF159 债务重组债务人披露情况补充(附注159表),八、财务报表主要项目注释,71、债务重组,1,2,,170,3,26.67,26.67,26.67,,,,,,,,,,
QCF160 债务重组债权人披露情况(附注160表),八、财务报表主要项目注释,71、债务重组,1,3,,171,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF161 债务重组债权人披露情况补充(附注161表),八、财务报表主要项目注释,71、债务重组,1,4,,172,3,26.67,26.67,26.67,,,,,,,,,,
QCF162 融资租赁出租人（适用旧租赁准则）(附注162表),八、财务报表主要项目注释,74、租赁,1,1,,174,2,40,40,,,,,,,,,,,
QCF164 经营租赁出租人（适用旧租赁准则）(附注164表),八、财务报表主要项目注释,74、租赁,5,2,缺2张表,175,3,26.67,26.67,26.67,,,,,,,,,,
QCF167 经营租赁承租人（适用旧租赁准则）(附注167表),八、财务报表主要项目注释,74、租赁,1,5,,178,2,40,40,,,,,,,,,,,
QCF169 终止经营(附注169表),八、财务报表主要项目注释,75、终止经营,1,1,,179,3,47.6,16.2,16.2,,,,,,,,,,
QCF170 分部信息(附注170表),八、财务报表主要项目注释,76、分部信息,3,1,行列转置，缺2张表,180,12,21.27,5.47,5.47,5.47,5.47,5.07,5.27,5.33,5.27,5.33,5.27,5.33,
QCF171 间接法现金流量表(附注171表),八、财务报表主要项目注释,77、合并现金流量表相关事项,1,1,,184,3,52.8,13.6,13.6,,,,,,,,,,
QCF172 本年取得子公司和收到处置子公司的现金净额(附注1,八、财务报表主要项目注释,77、合并现金流量表相关事项,1,2,,185,2,66.4,13.6,,,,,,,,,,,
QCF173 现金和现金等价物的构成(附注173表),八、财务报表主要项目注释,77、合并现金流量表相关事项,1,3,,186,3,52.8,13.6,13.6,,,,,,,,,,
QCF174 外币货币性项目(附注174表),八、财务报表主要项目注释,78、外币货币性项目,5,1,,187,4,26.67,13.33,13.33,26.67,,,,,,,,,
QCF175 所有权和使用权受到限制的资产(附注175表),八、财务报表主要项目注释,79、所有权和使用权受到限制的资产,1,1,,188,3,26.67,26.67,26.67,,,,,,,,,,
QCF176 关联方关系及其交易(附注176表),十一、关联方关系及其交易,1、本公司的母公司情况,1,1,,999,6,25.13,8.73,9.73,9.93,13.27,13.2,,,,,,,
